fecha,dia_semana,tipo_dia,motivo,viajes,timbradas_netas,timbradas_real,descuento,venta_bruta,venta_neta,buses,rutas,tim_por_viaje,cierre_tim,cierre_viajes,cierre_registros,tipo_cierre,estado_cierre
2026-06-01,Lunes,Normal,Lunes a viernes no festivo,413,32022,33964,1927,118481400,118481400,133,4,82.2,31865,403.5,167,"CU (RUTAS,GRUPOS,PROM)",Con cierre
2026-06-02,Martes,Normal,Lunes a viernes no festivo,408,32772,35476,2692,121256400,121256400,134,4,87.0,32293,396.0,163,"CU (RUTAS,GRUPOS)",Con cierre
2026-06-03,Miércoles,Normal,Lunes a viernes no festivo,413,32427,34728,2279,119979900,119979900,133,4,84.1,32291,404.0,172,INDIVIDUAL,Con cierre
2026-06-04,Jueves,Normal,Lunes a viernes no festivo,428,32154,34212,2046,118969800,118969800,135,4,79.9,32003,418.5,166,"CU (RUTAS,GRUPOS)",Con cierre
2026-06-05,Viernes,Normal,Lunes a viernes no festivo,413,32325,33863,1532,119602500,119602500,133,4,82.0,32255,405.0,175,"CU (RUTAS,GRUPOS,PROM)",Con cierre
2026-06-06,Sábado,Sábado,Sábado,371,23723,24975,1251,87775100,87775100,135,4,67.3,23663,366.0,174,"CU (RUTAS,GRUPOS)",Con cierre
2026-06-07,Domingo,Domingo,Domingo,211,10496,10560,64,39884800,39884800,64,4,50.0,10496,207.5,69,"CU (RUTAS,GRUPOS)",Con cierre
2026-06-08,Lunes,Festivo,Corpus Christi (Ley Emiliani),199,8997,9118,121,34188600,34188600,70,4,45.8,8756,191.5,80,"CU (RUTAS,GRUPOS)",Con cierre
2026-06-09,Martes,Normal,Lunes a viernes no festivo,415,32012,34104,2079,118444400,118444400,132,4,82.2,31659,401.5,167,"CU (RUTAS,GRUPOS)",Con cierre
2026-06-10,Miércoles,Normal,Lunes a viernes no festivo,412,32424,34631,2192,119968800,119968800,137,4,84.1,32196,397.0,177,"CU (RUTAS,GRUPOS,PROM)",Con cierre
2026-06-11,Jueves,Normal,Lunes a viernes no festivo,433,31988,33547,1540,118355600,118355600,134,4,77.5,31988,425.0,185,"CU (RUTAS,GRUPOS)",Con cierre
2026-06-12,Viernes,Normal,Lunes a viernes no festivo,428,31419,33332,1907,116250300,116250300,141,4,77.9,0,0.0,0,,Sin cierre registrado
2026-06-13,Sábado,Sábado,Sábado,390,24520,25727,1204,90724000,90724000,137,4,66.0,0,0.0,0,,Sin cierre registrado
2026-06-14,Domingo,Domingo,Domingo,224,10534,10626,92,40029200,40029200,70,4,47.4,0,0.0,0,,Sin cierre registrado
2026-06-15,Lunes,Festivo,Sagrado Corazón (Ley Emiliani),206,9356,9463,107,35552800,35552800,69,4,45.9,0,0.0,0,,Sin cierre registrado
2026-06-16,Martes,Normal,Lunes a viernes no festivo,374,31124,32982,1845,115158800,115158800,131,4,88.2,0,0.0,0,,Sin cierre registrado
2026-06-17,Miércoles,Normal,Lunes a viernes no festivo,413,30865,32268,1392,114200500,114200500,137,4,78.1,0,0.0,0,,Sin cierre registrado
2026-06-18,Jueves,Normal,Lunes a viernes no festivo,416,30058,31624,1554,111214600,111214600,138,4,76.0,0,0.0,0,,Sin cierre registrado
2026-06-19,Viernes,Normal,Lunes a viernes no festivo,422,30104,31784,1675,111384800,111384800,140,4,75.3,30104,415.0,180,"CU (RUTAS,GRUPOS)",Con cierre
2026-06-20,Sábado,Sábado,Sábado,392,24147,25235,1087,89343900,89343900,138,4,64.4,24147,384.5,180,"CU (RUTAS,GRUPOS)",Con cierre
2026-06-21,Domingo,Domingo,Domingo,165,11797,12091,294,44828600,44828600,64,4,73.3,11758,163.0,81,INDIVIDUAL,Con cierre
2026-06-22,Lunes,Normal,Lunes a viernes no festivo,373,28327,29570,1232,104809900,104809900,133,4,79.3,28125,365.0,151,"CU (RUTAS,GRUPOS,PROM)",Con cierre
2026-06-23,Martes,Normal,Lunes a viernes no festivo,391,28771,30862,2081,106452700,106452700,129,4,78.9,0,0.0,0,,Sin cierre registrado
2026-06-24,Miércoles,Normal,Lunes a viernes no festivo,372,27946,29475,1518,103400200,103400200,127,4,79.2,0,0.0,0,,Sin cierre registrado
2026-06-25,Jueves,Normal,Lunes a viernes no festivo,378,27210,28784,1560,100677000,100677000,123,4,76.1,0,0.0,0,,Sin cierre registrado
2026-06-26,Viernes,Normal,Lunes a viernes no festivo,164,12641,13300,657,46771700,46771700,105,4,81.1,0,0.0,0,,Sin cierre registrado
2026-06-27,Sábado,Sábado,Sábado,0,0,0,0,0,0,0,0,0.0,0,0.0,0,,Sin cierre registrado
2026-06-28,Domingo,Domingo,Domingo,0,0,0,0,0,0,0,0,0.0,0,0.0,0,,Sin cierre registrado
2026-06-29,Lunes,Festivo,San Pedro y San Pablo (Ley Emiliani),0,0,0,0,0,0,0,0,0.0,0,0.0,0,,Sin cierre registrado
2026-06-30,Martes,Normal,Lunes a viernes no festivo,0,0,0,0,0,0,0,0,0.0,0,0.0,0,,Sin cierre registrado
